name,country,industry,grade_latest,action_type,filings_searched,filing_dates,writedown_usd_mn,sale_price_usd_mn,all_amounts_mn,filing_urls,edgar_search_url,status
Alcoa,United States,Materials,A,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=Alcoa%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Amazon,United States,Consumer Discretionary,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Amazon%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Ambarella,United States,Information Technology,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Ambarella%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Amdocs,United States,Information Technology,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Amdocs%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
American Airlines,United States,Industrials,A,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=American%20Airlines%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
American Express,United States,Financials,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=American%20Express%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Ametek,United States,Industrials,A,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=Ametek%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Amsted Rail,United States,Industrials,A,sold,0,,,,,,https://www.sec.gov/edgar/search/#/q=Amsted%20Rail%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Amway,United States,Consumer Staples,A,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Amway%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Analog Devices,United States,Information Technology,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Analog%20Devices%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Ansys,United States,Information Technology,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Ansys%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Apple,United States,Information Technology,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Apple%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Arconic,United States,Materials,A,sold,0,,,,,,https://www.sec.gov/edgar/search/#/q=Arconic%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Association of International Certified Professional Accountants,United States,Industrials,B,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=Association%20of%20International%20Certified%20Professional%20Accountants%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Autodesk,United States,Information Technology,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Autodesk%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Avantor,United States,Health Care,A,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=Avantor%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Avaya,United States,Information Technology,A,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=Avaya%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Avery Dennison,United States,Materials,A,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=Avery%20Dennison%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Avid,United States,Information Technology,A,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=Avid%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
B Lab,United States,NGO,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=B%20Lab%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
BBDO,United States,Industrials,A,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=BBDO%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
