name,country,industry,grade_latest,action_type,action_text,writedown_usd_mn,sale_price_usd_mn,book_value_pre_usd_mn,exit_year,exit_quarter,data_source,notes
IMI Plc,United Kingdom,Materials,A,sold,Withdrew from Russia,,,,,,,
ISS,Denmark,Industrials,A,sold,ISS divested its Russian activities during March and is no longer active in Russia,,,,,,,
Icosagen,Estonia,Industrials,A,other,Ended business in Russia and Belarus,,,,,,,
Ikea,Sweden,Consumer Discretionary,A,sold,Closed stores and sold factory.,,,,,,,
Imperial Brands,United Kingdom,Consumer Staples,A,other,transfer Russian business to local partners,,,,,,,
InPost,Poland,Industrials,A,suspended,stop purchasing services/goods from Russian &amp; Belorussian companies,,,,,,,
Inchcape,United Kingdom,Industrials,A,sold,Withdrew from Russia,,,,,,,
Incoff Aerospace,Slovakia,Industrials,A,other,no longer trade with the Russians,,,,,,,
Inditex,Spain,Consumer Discretionary,A,suspended,close Russian stores and suspend sales,,,,,,,
Infineon,Germany,Information Technology,A,other,liquidate Russian entity,,,,,,,
Insydium,United Kingdom,Industrials,A,other,Forgo all Russian licenses,,,,,,,
Intercontinental Exchange,United States,Financials,A,other,curtail Russian access to capital markets,,,,,,,
Intercontinental Hotels (IHG),United Kingdom,Consumer Discretionary,A,suspended,Ceased operations in Russia,,,,,,,
International Biathlon Union,Austria,NGO,A,other,Russians to compete as neutral athletes,,,,,,,
International Boxing Federation,France,NGO,A,other,ban on all Russian competition,,,,,,,
International Cat Federation,Canada,NGO,A,other,ban Russian cats from competitions,,,,,,,
International Cycling Union,United States,NGO,A,other,ban on all Russian competition,,,,,,,
International Ice Hockey Federation,Switzerland,NGO,A,other,ban on all Russian competition,,,,,,,
International Olympic Committee,Switzerland,NGO,A,other,ban Russian athletes from competing,,,,,,,
International Paper,United States,Materials,A,sold,Fully exit Russia after selling its operations,,,,,,,
International Paralympic Committee,Germany,NGO,A,other,bar Russian athletes,,,,,,,
International Skating Union,Switzerland,NGO,A,other,ban on all Russian competition,,,,,,,
International Weightlifting Federation,Switzerland,NGO,A,other,ban on all Russian competition,,,,,,,
Interpublic Group,United States,Communication Services,A,other,exit Russian operations,,,,,,,
Intracom Telecom,Greece,Communication Services,A,sold,Withdrew from Russia,,,,,,,
Iveco,Italy,Industrials,A,sold,Fully exit Russia after selling its operations,,,,,,,
J Sainsbury,United Kingdom,Consumer Staples,A,other,remove products from Russia,,,,,,,
JD Sports,United Kingdom,Consumer Discretionary,A,suspended,suspend operations in Russia,,,,,,,
JKX,United Kingdom,Energy,A,other,Disposing of all its Russian assets,,,,,,,
JLL,United States,Real Estate,A,other,separate operations in Russia,,,,,,,
JYSK,Denmark,Consumer Discretionary,A,other,temporarily close Russian stores,,,,,,,
Jabil,United States,Information Technology,A,other,closed its site in Russia,,,,,,,
Jamie Oliver,United Kingdom,Consumer Staples,A,other,exit franchise agreement,,,,,,,
Jan de Nul,Luxembourg,Industrials,A,sold,close rep office and withdraw ships,,,,,,,
JetBrains,Czech Republic,Information Technology,A,suspended,suspend all activity indefinitely,,,,,,,
John Wood Group,United Kingdom,Industrials,A,sold,withdraw from Russia,,,,,,,
Johnson Matthey,United Kingdom,Materials,A,other,leave Russia and end all business there,,,,,,,
Jotun,Norway,Materials,A,suspended,Suspend business in Russia,,,,,,,
Jägermeister,Germany,Consumer Staples,A,suspended,Fully stopped business in Russia,,,,,,,
KION Group,Germany,Industrials,A,sold,Fully exit Russia after selling its operations,,,,,,,
KLP,Norway,Financials,A,other,exit all investment holdings in Russia,,,,,,,
KPMG,United States,Industrials,A,other,leaving Russia completely,,,,,,,
Kalnapilis-Taurus,Lithuania,Consumer Staples,A,other,termination of export ties and production in Russian Market,,,,,,,
Kamstrup,Denmark,Utilities,A,sold,Completely exit Russia,,,,,,,
