firm_name,home_country,industry,provisional_entry_mode,requires_manual_review,evidence_summary,orbis_parent_match,orbis_direct_stakes_pct,reported_action_type,first_reported_exit_date,first_reported_reduction_or_exit_date,timing_left_censored,yale_action_text
Paul Wurth,Luxembourg,Industrials,unclassified,yes,,,,suspended,,,no,"stopped new business, closed sites, and scaled back services"
PepsiCo,United States,Consumer Staples,unclassified,yes,strict normalized name match to Orbis parent,PEPSICO INC,,suspended,,,no,suspend operations in Russia except essentials
Phibro Animal Health Corp,United States,Health Care,unclassified,yes,,,,other,,,no,curtail some operations (i.e. ethanol) and substantial sales hit
Pirelli,Italy,Consumer Discretionary,unclassified,yes,,,,suspended,,,no,suspend new investments in Russia and scale back production
Purmo Group,,,unclassified,yes,,,,sold,,,no,Signed aggreement to divest all Russian operations. Waiting to finalize.
Rosenbauer,Austria,Industrials,joint_venture,yes,Yale text explicitly mentions a joint venture,,,other,,,no,no new business; continue servicing fire engine pumps in Russian JV
Royal DSM,Netherlands,Materials,unclassified,yes,,,,suspended,,,no,stopped all operations in Russia other than basic food/feed/essential health activities
SAP,Germany,Information Technology,unclassified,yes,strict normalized name match to Orbis parent,SAP SE,,suspended,,,no,stop all sales to Russia and shut down cloud operations but some carveouts
SHV,Netherlands,Energy,unclassified,yes,,,,suspended,,,no,"suspend new investments, new projects, new exports; continue to work with  suppliers and customers in Russia"
Sabre,United States,Information Technology,unclassified,yes,,,,suspended,,,no,suspend certain partnerships with Aeroflot
Saint-Gobain,France,Industrials,unclassified,yes,,,,suspended,,,no,suspend exports and imports but not local operations
Salzgitter,Germany,Materials,unclassified,yes,,,,other,,,no,
Schaeffler,Germany,Industrials,unclassified,yes,,,,suspended,,,no,stop deliveries to Russia; continue manufacturing in Russia
Scopely,United States,Communication Services,unclassified,yes,,,,suspended,,,no,suspend marketing and commerce
Shell,United Kingdom,Energy,unclassified,yes,strict normalized name match to Orbis parent,SHELL PLC,,sold,2022-12-24,2022-12-24,yes,Committed to total withdrawal but backtracked with LNG
Shutterstock,United States,Communication Services,unclassified,yes,,,,other,,,no,not accept new contributors from Russia; continue current businesses & still offer services to Russia
Signet Jewelers,United States,Consumer Discretionary,unclassified,yes,,,,suspended,,,no,suspend business interaction with Russian-owned entities; no information about other Russian customers
Sika,Switzerland,Industrials,wholly_owned,yes,strict normalized name match to Orbis parent; Orbis direct-stake category: wholly_owned,SIKA AG,100,suspended,,,no,significantly scale back business in Russia; stop production; stop investments
Sinopec,China,Energy,unclassified,yes,,,,suspended,,,no,suspend $500MM new investment and significant operations and partnerships
Skadden,United States,Industrials,unclassified,yes,,,,suspended,,,no,suspend certain operations in Russia but not all
Skandinaviska Enskilda Banken,Sweden,Financials,unclassified,yes,,,,other,,,no,scaling down operations in Russia
Sketchers,United States,Consumer Discretionary,unclassified,yes,,,,suspended,,,no,suspended shipments to Russia but online sales continue
Skoda,Czech Republic,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,Halted production and stopped exports. Dealers continue to sell cars.
TKH Security,Netherlands,Information Technology,unclassified,yes,,,,suspended,,,no,Suspend all new sales and services and relationships with suppliers
Tennant,United States,Industrials,unclassified,yes,,,,other,,,no,substantially suspending sales to Russia
ThyssenKrupp,Germany,Materials,unclassified,yes,,,,suspended,,,no,Stopped new business and investments. Closed plant
Tikkurila,Finland,Materials,unclassified,yes,,,,sold,,,no,reduce Russian operations; stop sales to aerospace; consider exiting Russia
Tokio Marine,Japan,Financials,unclassified,yes,,,,suspended,,,no,suspend new contracts and repatriate employees
Trafigura,Singapore,Energy,unclassified,yes,,,,suspended,,,no,freeze investments and stop purchasing crude oil from Rosneft; maintain shareholding in Russia
Triglav Group,Slovenia,Financials,unclassified,yes,,,,other,,,no,not renewing or entering into new business
Tungsram,Hungary,Utilities,unclassified,yes,,,,suspended,,,no,stopped producing products and projects
U.S. Polo Assn.,United States,Consumer Discretionary,unclassified,yes,,,,suspended,,,no,stopped all shipments of goods into Russia and shut down all branded digital operations but phased approach to closing physical stores
UBS,Switzerland,Financials,unclassified,yes,,,,suspended,,,no,suspend new business in Russia and reduce current exposure by helping clients unwind Russia securities; reducing Russian client services
Uniper SE,Germany,Utilities,unclassified,yes,,,,sold,,,no,suspend new Russian gas purchases/divest Unipro
Valentino,Italy,Consumer Discretionary,unclassified,yes,,,,suspended,,,no,suspend online sales; no information about on-site sales
Vitol,Switzerland,Energy,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,Remain a significant buyer of refined oil from Russia more than a year after pledging to drastically reduce their business
Westinghouse Air Brake Technologies Corp,United States,Industrials,unclassified,yes,strict normalized name match to Orbis parent,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION,,suspended,,,no,stopped sales to Russia
Whirlpool,United States,Consumer Discretionary,unclassified,yes,,,,other,,,no,limiting production in Russia
Wilo,Germany,Industrials,unclassified,yes,,,,suspended,,,no,Stop shipments to and from Russia; no comment about production in Russia
Wolters Kluwer,Netherlands,Financials,unclassified,yes,,,,other,,,no,Scale back to just health products in Russia
Yum Brands,United States,Consumer Discretionary,unclassified,yes,,,,suspended,,,no,Suspend operations of company-owned restaurants and new investments in Russia
Zoetis,United States,Health Care,unclassified,yes,strict normalized name match to Orbis parent,ZOETIS INC.,,suspended,,,no,suspend investments & focus on supply of medicines and vaccines
nVent,United Kingdom,Industrials,unclassified,yes,,,,suspended,,,no,Suspended new business in Russia
Aalberts,Netherlands,Industrials,unclassified,yes,,,,other,,,no,"continue operations on an unspecified ""lower"" level & postpone investments"
Abbott Laboratories,United States,Health Care,unclassified,yes,strict normalized name match to Orbis parent,ABBOTT LABORATORIES,,suspended,,,no,suspend non-essential business activity
Abbvie,United States,Health Care,unclassified,yes,strict normalized name match to Orbis parent,ABBVIE INC.,,suspended,,,no,"suspend aesthetics operations, pause new clinical trials"
Accor,France,Consumer Discretionary,unclassified,yes,strict normalized name match to Orbis parent,ACCOR,,suspended,,,no,suspend new investments/development
Accumalux,Luxembourg,Consumer Discretionary,unclassified,yes,,,,other,,,no,"still operating plant in Togliatti, Russia"
Airbus,Netherlands,Industrials,unclassified,yes,strict normalized name match to Orbis parent,AIRBUS SE,,suspended,,,no,"suspend supply of parts and deliveries/servicing, t but continue substantial titanium purchases from Russia"
Akrapovič,Slovenia,Consumer Discretionary,unclassified,yes,,,,other,,,no,still operating in Russia
Alcon,Switzerland,Health Care,wholly_owned,yes,strict normalized name match to Orbis parent; Orbis direct-stake category: wholly_owned,ALCON AG,100,suspended,,,no,suspend new investments and new clinical trial enrollment in Russia
AmerisourceBergen,United States,Health Care,unclassified,yes,,,,other,,,no,"cease new business initiatives but continue existing clinical trials, and distributing health products"
Andbank,Andorra,Financials,unclassified,yes,,,,other,,,no,investigate if Russian customers are subject to European sanction
Andritz,Austria,Industrials,wholly_owned,yes,strict normalized name match to Orbis parent; Orbis direct-stake category: wholly_owned,ANDRITZ AG,100,suspended,,,no,suspend unspecified new business in Russia for time being
Anecoop,Spain,Consumer Staples,unclassified,yes,,,,other,,,no,diverting sales away from Russia
Archer Daniels Midland (ADM),United States,Consumer Staples,unclassified,yes,,,,other,,,no,unspecified scaling down of non-essential operations
AstraZeneca,United Kingdom,Health Care,unclassified,yes,strict normalized name match to Orbis parent,ASTRAZENECA PLC,,suspended,,,no,halt new investments/new clinical trials
Aurubis AG,Germany,Industrials,unclassified,yes,,,,other,,,no,monitor situation and review structures of Russian business partners
BT Group,United Kingdom,Communication Services,unclassified,yes,strict normalized name match to Orbis parent,BT GROUP PLC,,other,,,no,
Bacardi,Bermuda,Consumer Staples,unclassified,yes,,,,other,,,no,Backtracked on statement and have continued imports
Bang &amp; Bonsomer,Finland,Materials,unclassified,yes,,,,suspended,,,no,suspend new investments but still operating in Russia
Barilla,Italy,Consumer Staples,unclassified,yes,,,,other,,,no,all new investments and advertising activities on hold; limit Russia production to pasta and bread
Barry Callebaut,Switzerland,Consumer Staples,wholly_owned,yes,strict normalized name match to Orbis parent; Orbis direct-stake category: wholly_owned,BARRY CALLEBAUT AG,100,suspended,,,no,suspend capital investment
Bayer,Germany,Health Care,unclassified,yes,strict normalized name match to Orbis parent,BAYER AG,,other,,,no,stopping unspecified non-essential business activity
Binance,China,Financials,unclassified,yes,,,,other,,,no,"restrict Russian accounts with over €10,000"
BlaBlaCar,France,Information Technology,unclassified,yes,,,,suspended,,,no,Stopped new investment but stays in Russia
Boiron,France,Health Care,unclassified,yes,,,,suspended,,,no,suspend new investments & stop clinical trials
Bosch,Germany,Industrials,unclassified,yes,,,,suspended,,,no,Suspend some shipments and plants but not all. Looking for buyer
CANPACK,Poland,Materials,unclassified,yes,,,,suspended,,,no,Stopped new investments
"CAPRI Holdings (Versace, Michael Kors, Jimmy Cho)",United States,Consumer Discretionary,unclassified,yes,,,,other,,,no,online orders unavailable but still advertising; no information about on-site sales
Calfrac Well Services,Canada,Energy,unclassified,yes,,,,other,,,no,suspension of new investments in Russia
Campari,Italy,Consumer Staples,unclassified,yes,,,,suspended,,,no,continue sales in Russia but suspend new investments
Cargill,United States,Consumer Staples,unclassified,yes,,,,other,,,no,unspecified scaling down of non-essential operations
Carmim,Portugal,Consumer Staples,unclassified,yes,,,,suspended,,,no,suspend some orders in backlog
Carter's | Oshkosh,United States,Industrials,unclassified,yes,,,,suspended,,,no,Stop all shipments of merchandise to Russia
Colgate-Palmolive,United States,Consumer Staples,unclassified,yes,,,,other,,,no,continue essential health and hygiene products
Convatec,United Kingdom,Health Care,unclassified,yes,,,,other,,,no,discontinuation of associated Russia activities.
Corticeira Amorim,Portugal,Materials,unclassified,yes,,,,suspended,,,no,commerical activity suspended
Crèdit Andorrà,Andorra,Financials,unclassified,yes,,,,other,,,no,Investigate if Russian customers are subject to European sanctions
DMK Group,Germany,Consumer Staples,unclassified,yes,,,,suspended,,,no,suspend new investments/advertising but continue sales and plant operations in Russia
Deceuninck,Belgium,Industrials,wholly_owned,yes,strict normalized name match to Orbis parent; Orbis direct-stake category: wholly_owned,DECEUNINCK NV,100,suspended,,,no,stop investments & cut links with other establishments
Delonghi,Italy,Consumer Discretionary,unclassified,yes,,,,suspended,,,no,paused new shipments and  investments
Dr. Theiss,Germany,Health Care,unclassified,yes,,,,suspended,,,no,suspend advertisement
ESL,Germany,NGO,unclassified,yes,,,,other,,,no,ban people with ties to Russian government
Ebara,Japan,Industrials,unclassified,yes,strict normalized name match to Orbis parent,EBARA CORPORATION,,other,,,no,Seeking optimal procurement
Ecco,Denmark,Consumer Discretionary,unclassified,yes,,,,suspended,,,no,suspend new investments still operating in Russia
Eesti Gaas,Estonia,Energy,unclassified,yes,,,,other,,,no,continues to import Russian gas but is looking for alternatives
Ehrmann,Germany,Consumer Staples,unclassified,yes,,,,suspended,,,no,continue sales in Russia but suspend new investments
Ekosem Agrar AG,Germany,Consumer Staples,unclassified,yes,,,,other,,,no,restructuring finances
Eli Lilly,United States,Health Care,unclassified,yes,,,,suspended,,,no,suspend new investments and clinical trials
Engie,France,Utilities,unclassified,yes,,,,other,,,no,no new investments
FIDE,Switzerland,NGO,unclassified,yes,,,,suspended,,2022-12-24,no,Allowing Russian play after suspend Russian & Belarussian teams from participation in tournaments
FM Global,United States,Financials,unclassified,yes,,,,suspended,,,no,stopped renewing and underwriting new reinsurance
Focus Brands - Cinnabon,United States,Industrials,unclassified,yes,,,,other,,,no,no new investments and expansion plans on hold
Forever Living Products,United States,Consumer Discretionary,unclassified,yes,,,,suspended,,,no,"Suspended online sales but continues to pay earned bonuses to russians and other ""friendly countries"""
Freelancer,Australia,Information Technology,unclassified,yes,,,,other,,,no,Still operating in Russia; sanctioned payment methods disabled
Freudenberg Group,Germany,Industrials,unclassified,yes,,,,other,,,no,cease trading operations with Russia & Belarus; running plants in Russia
GROUPE LIMAGRAIN/JACQUET-BROSSARD,France,Industrials,unclassified,yes,,,,other,,,no,continues flows to Russian and Ukrainian producers but suspends its project to build a seed factory in Russia
Gedeon Richter,Hungary,Health Care,unclassified,yes,,,,other,,,no,still operating in Russia
Geox,Italy,Consumer Discretionary,unclassified,yes,,,,suspended,,,no,suspend new investments
Gilead Sciences,United States,Health Care,unclassified,yes,strict normalized name match to Orbis parent,"GILEAD SCIENCES, INC.",,suspended,,,no,Stopped some business operations
Giorgio Armani,Italy,Consumer Discretionary,unclassified,yes,,,,suspended,,,no,Suspended investments
GlaxoSmithKline,United Kingdom,Health Care,unclassified,yes,,,,suspended,,,no,stopped advertising/new clinical trials in Russia
Greif,United States,Materials,unclassified,yes,strict normalized name match to Orbis parent,GREIF INC,,other,,,no,Canceled future investments in Russia
Grohe,Germany,Consumer Discretionary,unclassified,yes,,,,suspended,2022-12-24,2022-12-24,yes,Suspended Shipments
Groupe Seb,France,Consumer Discretionary,unclassified,yes,,,,suspended,,,no,"suspend new investments and ""sharply"" reduce activities in Russia"
Gruma,Mexico,Consumer Staples,unclassified,yes,,,,suspended,,,no,halt new investments in Russia
HERZ,Austria,Consumer Discretionary,unclassified,yes,,,,other,,,no,no new business in Russia
HSBC,United Kingdom,Financials,unclassified,yes,,,,other,,,no,curtail Russian access to capital markets and limit new business
HeidelbergCement,Germany,Materials,unclassified,yes,,,,suspended,,,no,suspend all further investments
Hellenic Bank,Cyprus,Financials,unclassified,yes,,,,other,,,no,maintain rep offices in Russia; observe all banking sanctions
Hellenic Petroleum,Greece,Energy,unclassified,yes,,,,other,,,no,seeks new oil supplier to replace Russian oil
HiPP,Switzerland,Consumer Staples,unclassified,yes,strict normalized name match to Orbis parent,HIPP GMBH,,suspended,,,no,suspend investments in Russia but continue substantive operations
Hilton,United States,Consumer Discretionary,unclassified,yes,,,,suspended,,,no,suspend new investments/close corporate office
Hochland,Germany,Consumer Staples,unclassified,yes,,,,suspended,,,no,suspend investments but continues sales and plant operations in Russia
Huawei,China,Information Technology,unclassified,yes,,,,suspended,,,no,suspend new orders and furlough some staff
Hyatt,United States,Consumer Discretionary,unclassified,yes,,,,suspended,,,no,suspend investments and new developments
IFF,United States,Consumer Discretionary,unclassified,yes,,,,suspended,,,no,Suspended some production and supply of ingredients for products
ING Bank,Netherlands,Financials,unclassified,yes,,,,other,,,no,Reached aggreement to sell Russian business. Deal expected to close in Q3 2024
Infosys,India,Information Technology,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,Paying two subcontractors in Moscow
Ingram Micro,United States,Information Technology,unclassified,yes,,,,other,,,no,no new business in Russia
Intermedia,United States,Communication Services,unclassified,yes,,,,other,,,no,move some employees out of Russia and ambiguous reduction of risk exposure to Russia
International Baccalaureate Organization,Netherlands,NGO,unclassified,yes,,,,other,,,no,still offers professional development services to Russian teachers
Intesa Sanpaolo,Italy,Financials,unclassified,yes,,,,suspended,,,no,suspend new investments and curtail new financing
Ipsen,France,Health Care,unclassified,yes,strict normalized name match to Orbis parent,IPSEN,,suspended,,,no,Suspended some promotional activities and no new client trials in Russia
Itochu,Japan,Consumer Staples,unclassified,yes,,,,suspended,,,no,Ceased new projects and reduced investments
J. Neves &amp; Fihos (JNF),Portugal,Industrials,contractual,yes,"Yale text explicitly mentions a distribution, license, or franchise arrangement",,,suspended,,,no,paused distribution
JDE Peet's,Netherlands,Consumer Staples,unclassified,yes,,,,other,,,no,largely still operating in Russia
Japan Tobacco,Japan,Consumer Staples,unclassified,yes,strict normalized name match to Orbis parent,JAPAN TOBACCO INC.,,suspended,,,no,stopped new investments and marketing activities in Russia
Johnson &amp; Johnson,United States,Health Care,unclassified,yes,strict normalized name match to Orbis parent,JOHNSON & JOHNSON,,suspended,,,no,pause patient enrollment in ongoing trials
KCA Deutag,United Kingdom,Energy,unclassified,yes,,,,suspended,,,no,suspend investments
KDDI Corp,Japan,Communication Services,unclassified,yes,,,,other,,,no,continue operations with local staff
Kemin,United States,Health Care,unclassified,yes,,,,other,,,no,still operating in Russia; declined to commend
Kimberly-Clark,United States,Consumer Staples,unclassified,yes,,,,suspended,,,no,suspend new investments in Russia
Knauf,Germany,Materials,unclassified,yes,,,,suspended,,,no,still operating across 14 sites in Russia but suspend new investments
Kraft Heinz - JBS,United States,Consumer Staples,unclassified,yes,,,,suspended,,,no,stopped new investments and exports/imports from Russia
Kubíček VHS,Czech Republic,Industrials,unclassified,yes,,,,suspended,,,no,stop cooperation
Laboratoire Servier,France,Health Care,unclassified,yes,,,,other,,,no,suspending new investments but still operating in Russia
Lenovo,Hong Kong,Information Technology,unclassified,yes,,,,suspended,,,no,reported to suspend operations in Russia
Loulis Mills,Greece,Consumer Staples,unclassified,yes,,,,other,,,no,search for alternative suppliers
Maire Tecnimonet,Italy,Industrials,unclassified,yes,,,,suspended,,,no,suspended commercial activities; managing existing backlog
Manitowoc,United States,Industrials,unclassified,yes,,,,suspended,,,no,"stopped taking new orders, still maintaining office in Russia"
Marel,Iceland,Consumer Staples,unclassified,yes,,,,suspended,,,no,paused new projects
Mars,United States,Consumer Staples,unclassified,yes,,,,other,,,no,Factories and sales operating in Russia
Marubeni,Japan,Industrials,unclassified,yes,strict normalized name match to Orbis parent,MARUBENI CORPORATION,,other,,,no,scaling down but still in numerous projects across Russia
Mavenir,United States,Information Technology,unclassified,yes,,,,other,,,no,continue operating in Russia but very limited curtailment of some activities
Medtronic,United States,Health Care,unclassified,yes,,,,other,,,no,Limited some activities
Melamin,Slovenia,Materials,unclassified,yes,,,,other,,,no,making up for shortfall from sanctions
Menarini Group,Italy,Health Care,unclassified,yes,,,,suspended,,,no,stop advertisement and new investments; continue operating plant in Russia
Merck Group,United States,Health Care,unclassified,yes,,,,other,,,no,no further investments/clinical trial enrollment
Merck KGaA,Germany,Health Care,unclassified,yes,,,,other,,,no,still operating and actively hiring in Russia; restrict transactions
Metro,Germany,Consumer Staples,unclassified,yes,,,,suspended,,,no,stop all growth investments and reduce advertisements
Mocapor,Portugal,Industrials,unclassified,yes,,,,suspended,,,no,paused exports
Mohawk Industries,United States,Consumer Discretionary,unclassified,yes,strict normalized name match to Orbis parent,"MOHAWK INDUSTRIES, INC.",,suspended,,,no,suspend new investments in Russia
Mondelez - Nabisco,United States,Consumer Staples,unclassified,yes,,,,other,,,no,Scaling back unspecified non-essential activities in Russia
NTPC,India,Utilities,unclassified,yes,,,,other,,,no,Difficulty in transacting with Russian counterparties due to SWIFT issues etc
National Oilwell Varco,United States,Energy,unclassified,yes,,,,suspended,,,no,suspend all new investments in Russia
Nature's Sunshine,United States,Consumer Staples,unclassified,yes,,,,suspended,,,no,suspend shipments into Russia but not sales
Naust Marine,Iceland,Industrials,unclassified,yes,,,,suspended,,,no,stopped projects in Russia
Nestle,Switzerland,Consumer Staples,unclassified,yes,,,,suspended,,,no,"halted non-essential imports/exports to Russia, stopped all advertising, and suspended all capital investment"
Nippon Steel,Japan,Materials,unclassified,yes,strict normalized name match to Orbis parent,NIPPON STEEL CORPORATION,,other,,,no,searching to replace Russian supplies
Nor-Maali,Finland,Industrials,unclassified,yes,,,,suspended,,,no,stop further investments
Novartis,Switzerland,Health Care,unclassified,yes,strict normalized name match to Orbis parent,NOVARTIS AG,,suspended,,,no,"pause all new capital investments, media advertising and other promotions; pause new clinical trials and enrollment of new patients"
Novo Nordisk,Denmark,Health Care,unclassified,yes,,,,suspended,,,no,suspend further marketing and clinical investment; pause new clinical trials and active enrollment
OMV,Austria,Energy,unclassified,yes,,,,other,,,no,no new Russian investments; doing strategic review of current Russian gas investments
Palfinger,Austria,Industrials,unclassified,yes,,,,other,,,no,reduced production
Pfizer,United States,Health Care,unclassified,yes,strict normalized name match to Orbis parent,PFIZER INC,,suspended,,,no,stopped new investments/clinical trials in Russia
Philip Morris,United States,Consumer Staples,unclassified,yes,,,,suspended,,,no,"explore strategic alternatives, while stop new investments including $150MM, paused marketing, canceled product launches"
Philips,Netherlands,Consumer Discretionary,unclassified,yes,,,,suspended,,,no,online sales still available in Russia but suspend new marketing
Polpharma,Poland,Health Care,unclassified,yes,,,,suspended,,,no,stop all new investments and limit deliveries to essential drugs only
Pottinger,Austria,Industrials,unclassified,yes,,,,other,,,no,limited deliveries to Russia sales subsidiary
Procter &amp; Gamble (P&amp;G),United States,Consumer Staples,unclassified,yes,,,,other,,,no,"Still operating, despite statement"
RHI Magnesita,Austria,Industrials,unclassified,yes,,,,other,,,no,selling down existing stocks in Russia
Radisson Hotels,,,unclassified,yes,,,,suspended,,,no,Suspended new partnerships and new investments in Russia. Still operate 38 hotel
Reckitt Benckiser Group,United Kingdom,Consumer Staples,unclassified,yes,strict normalized name match to Orbis parent,RECKITT BENCKISER GROUP PLC,,other,2022-12-24,2022-12-24,yes,"Freeze capital investments, advertising, sponsorships and promotions in Russia. Began process of aimed at transferring Russian business"
Red Bull,Austria,Consumer Staples,joint_venture,yes,strict normalized name match to Orbis parent; Orbis direct-stake category: shared_ownership,RED BULL GMBH,73,suspended,,,no,suspend new investments
Remondis,Germany,Industrials,unclassified,yes,,,,other,,,no,still operating in Russia; not disclosed publicly
Ritter Sport,Germany,Consumer Staples,unclassified,yes,,,,suspended,,,no,halt new investments and advertising
Roche,Switzerland,Health Care,unclassified,yes,,,,suspended,,,no,pause new site activation and patient enrollment; continue operating
Rockwool,Denmark,Industrials,unclassified,yes,,,,other,,,no,cancel new investments in Russia
SC Johnson,United States,Consumer Staples,unclassified,yes,,,,suspended,,,no,stopped new investments and scaled back unspecified operations
SCHOTT,Germany,Materials,unclassified,yes,,,,suspended,,,no,suspend investments in Russia
SGS,Switzerland,Industrials,unclassified,yes,,,,suspended,,,no,Suspended business development and investment activities
SLB | Schlumberger,United States,Energy,unclassified,yes,,,,suspended,,,no,stopped new investment and technology deployment to our Russia operations
SWISS KRONO,Switzerland,Industrials,unclassified,yes,,,,suspended,,,no,Aborted Russian project and halted investments
Saipem,Italy,Industrials,unclassified,yes,,,,suspended,,,no,halt new investments
Sanofi,France,Health Care,unclassified,yes,strict normalized name match to Orbis parent,SANOFI,,other,,,no,"halting advertising and promotional spending and new recruitment of patients clinical trials, continue medical supply and treating current patients"
Sarens,Belgium,Industrials,wholly_owned,yes,strict normalized name match to Orbis parent; Orbis direct-stake category: wholly_owned,SARENS,100,other,,,no,new projects cancelled
Schmitz Cargobull,Germany,Industrials,unclassified,yes,,,,suspended,,,no,Stopped all investments
Signify,Netherlands,Consumer Discretionary,unclassified,yes,,,,suspended,,,no,suspend only exports to Russia and investments and new business
Smith &amp; Nephew PLC,United Kingdom,Health Care,unclassified,yes,strict normalized name match to Orbis parent,SMITH & NEPHEW PLC,,suspended,,,no,Stopped new investments
Snap,United States,Communication Services,unclassified,yes,,,,suspended,,,no,halt advertisement
Soudal,Belgium,Materials,unclassified,yes,,,,other,,,no,cancel investments in a brand new factory in Russia; but maintain other activities
Standard Chartered,United Kingdom,Financials,unclassified,yes,,,,other,,,no,Restricts Russian transactions
Subway,United States,Consumer Staples,unclassified,yes,,,,suspended,,,no,suspend new investments/advertising
Sumitomo Mitsui Financial,Japan,Financials,unclassified,yes,,,,other,,,no,continue operations with local staff
Syneos Health,United States,Health Care,unclassified,yes,,,,other,,,no,Patient recruitment on hold and no new clinical trial in Russia
TMF Group,Netherlands,Industrials,unclassified,yes,strict normalized name match to Orbis parent,TMF GROUP LTD,,suspended,,,no,suspend new contracts; continue supporting current customers
TOM Tailor,Germany,Consumer Discretionary,unclassified,yes,,,,suspended,,,no,no official statement; online sales suspended but advertising continues
TZMO,Poland,Consumer Staples,unclassified,yes,,,,suspended,,,no,stopped new investments
Takeda,Japan,Health Care,unclassified,yes,,,,suspended,,,no,"Suspended new investments, advertising and promotion & no new clinical trials and stopped enrollment of new Russian patients in ongoing clinical trials."
Toshiba Group,Japan,Information Technology,unclassified,yes,,,,suspended,,,no,stop all new investments in Russia
Toshulin,Czech Republic,Industrials,unclassified,yes,,,,suspended,,,no,Stopped cooperation
Total Energies,France,Energy,unclassified,yes,,,,sold,,,no,no longer will provide capital for new projects in Russia/stop purchasing Russian oil; withdraw from Arctic LNG 2 project
Toyota Tsusho,Japan,Materials,unclassified,yes,,,,suspended,,,no,Stopped exports and imports of auto parts to and from Russia
UCB,Belgium,Health Care,unclassified,yes,,,,suspended,,,no,Stopped enrolling new patients and not starting new sites or clinical trials in Russia
UnionPay,China,Financials,unclassified,yes,,,,suspended,,,no,Suspended issuing bank cards to Russian Banks
Viatris,United States,Health Care,unclassified,yes,strict normalized name match to Orbis parent,VIATRIS INC.,,suspended,,,no,Suspended some operations
Vimeo,United States,Communication Services,unclassified,yes,,,,other,,,no,not accept new customers from Russia
Vičiūnai,Lithuania,Consumer Staples,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,Dragging feet on exiting Russia despite announcement
WeWork,United States,Real Estate,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,Continue operating in Russia with 4 locations in Moscow
Weatherford International,United States,Energy,unclassified,yes,,,,suspended,,,no,suspend new investments/deployments in Russia
Welltec,Denmark,Energy,unclassified,yes,,,,suspended,,,no,suspend all new investments in Russia
Xiaomi,China,Information Technology,unclassified,yes,,,,suspended,,,no,Reported to suspend operations in Russia
Yokogawa,Japan,Information Technology,unclassified,yes,,,,other,,,no,No new projects in Russia
Yokohama,Japan,Consumer Discretionary,unclassified,yes,,,,suspended,,,no,Decision to renew production in Russia despite previous announcements to halt production
Young Living,United States,Consumer Staples,unclassified,yes,,,,suspended,,,no,Suspend new investments in Russia
Yves Rocher,France,Consumer Staples,unclassified,yes,,,,suspended,,,no,Suspend new investments/development
dōTERRA,United States,Consumer Staples,unclassified,yes,,,,suspended,,,no,suspend new investment in Russia
ANT Group,China,Information Technology,joint_venture,yes,Yale text explicitly mentions a joint venture,,,other,,,no,joint venture with the Russian Sovereign Wealth Fund
AUMA Riester GmbH &amp; Co,Germany,Industrials,unclassified,yes,,,,other,,,no,Still operating in and selling to Russia
Agrana,Austria,Consumer Staples,unclassified,yes,,,,other,,,no,continue operating plant in Russia
Agricultural Bank of China,China,Financials,unclassified,yes,,,,other,,,no,Russian companies open accounts with the bank; decline to comment
Air China,China,Industrials,unclassified,yes,,,,other,,,no,still flying to Russia
Air Serbia,Serbia,Industrials,unclassified,yes,,,,other,,,no,still flying to Russia
Alibaba,China,Consumer Discretionary,unclassified,yes,,,,other,,,no,still operating in Russia
Align Technology,United States,Health Care,unclassified,yes,strict normalized name match to Orbis parent,ALIGN TECHNOLOGY INC,,other,,,no,still operating in Russia
Alpina Žiri,Slovenia,Consumer Discretionary,unclassified,yes,,,,other,,,no,distributors in Russia
Alumil,Greece,Materials,unclassified,yes,,,,other,,,no,Not disclosed publicly
Anadolu Efes,Turkey,Consumer Staples,unclassified,yes,,,,other,,,no,still operating in Russia
Anta Sports,China,Consumer Discretionary,unclassified,yes,,,,other,,,no,still operating and providing online sales to Russia
Antal,United Kingdom,Industrials,unclassified,yes,,,,other,,,no,still operating and actively hiring in Russia
AnyDesk Software,Germany,Information Technology,unclassified,yes,,,,other,,,no,still providing services to Russia; not disclosed publicly
Ariston Group,Italy,Consumer Discretionary,unclassified,yes,,,,other,,,no,still operating and actively hiring in Russia
Auchan-Retail,France,Consumer Staples,unclassified,yes,,,,other,,,no,still operating in Russia
B. Braun,Germany,Health Care,unclassified,yes,,,,other,,,no,still operating in Russia
BPW,Germany,Consumer Discretionary,unclassified,yes,,,,other,,,no,still cooperating with dealers in Russia; not disclosed publicly
Babolat,France,Consumer Discretionary,unclassified,yes,,,,other,,,no,still operating and selling to Russia
Bajaj Auto,India,Consumer Discretionary,unclassified,yes,,,,other,,,no,business as usual
Benetton,Italy,Consumer Discretionary,unclassified,yes,,,,other,,,no,continue operations in Russia
Bharat Petroleum (BPCL),India,Energy,unclassified,yes,,,,other,,,no,bought 2 million barrels of Russian Urals for May loading
Binbit,Mexico,Communication Services,unclassified,yes,,,,other,,,no,Operating in Russia
