firm_name,home_country,industry,provisional_entry_mode,requires_manual_review,evidence_summary,orbis_parent_match,orbis_direct_stakes_pct,reported_action_type,first_reported_exit_date,first_reported_reduction_or_exit_date,timing_left_censored,yale_action_text
Chapman Freeborn,United Kingdom,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,Cease business operation in Russia
Charles Schwab,United States,Financials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Limit access to Russian capital markets
Ciech,Poland,Materials,unclassified,yes,,,,suspended,2022-12-24,2022-12-24,yes,suspended Russian exports
Cisco,United States,Information Technology,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,orderly wind down Russian operations
Citi,United States,Financials,unclassified,yes,,,,other,2024-02-25,2022-12-24,no,Ending all its institutional banking services and ATMs in Russia
Clarivate,United Kingdom,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,exit Russian operations
Cleaves,Norway,Financials,unclassified,yes,,,,suspended,2023-08-23,2023-08-23,no,Fully stop all business in Russia
Clifford Chance,United Kingdom,Industrials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,wind down operations in Moscow; local partners and counsels form own firm
Colliers,Canada,Real Estate,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,discontinue business in Russia
Columbus,Denmark,Information Technology,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Withdrew from Russia
Comarch,Poland,Information Technology,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,halts orders from Russia & Belarus
Commvault,United States,Information Technology,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,fully wind down Russian business
Compass Group,United Kingdom,Consumer Staples,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,permanently exit Russian market
Compass Mining,United States,Financials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Terminate all Russian partnerships and business
Coop,Switzerland,Financials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,fully divest Russian operations Transgourmet via management buyout
Corteva,United States,Consumer Staples,unclassified,yes,strict normalized name match to Orbis parent,"CORTEVA, INC",,other,2023-08-23,2023-08-23,no,Stoped production and business activities in Russia
Coty,United States,Consumer Staples,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,wind down Russian business
Covestro,Germany,Materials,unclassified,yes,,,,suspended,2022-12-24,2022-12-24,yes,Ceased Business Activity in Russia
Cummins,United States,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,exit Russian operations
Currency.com,United Kingdom,Financials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,halting operations for residents of Russian
Cushman &amp; Wakefield,United States,Real Estate,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,close office in Russia; transfer to local partner
Cyfrowy Polsat,Poland,Communication Services,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,removing Russian TV channels from the offer
DDB,United States,Materials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,exit Russian operations
DLA Piper,United States,Industrials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,withdrawing from Russia
DMG Mori,Japan,Industrials,unclassified,yes,strict normalized name match to Orbis parent,"DMG MORI CO., LTD.",,sold,2023-08-23,2022-12-24,no,Withdrew business in Russia
DP Eurasia,Netherlands,Consumer Staples,unclassified,yes,,,,other,2023-09-22,2023-09-22,no,Closure of Russian Business
DPD,Germany,Industrials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,withdrawal from the Russian market
DWS,Germany,Financials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,End Russian products
DXC Technology,United States,Information Technology,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,leaving Russia completely
