Deal Type,Announce Date,Target Name,Acquirer Name,Seller Name,Announced Total Value (mil.),Payment Type,TV/EBITDA,Deal Status
AST,8/30/2019,2 new section licenses of Vorgashorskoye,Severstal PAO,,N/A,Cash, ,Completed
AST,4/12/2018,Megamart,Potential Buyer,DIXY Group PJSC,N/A,Cash, ,Withdrawn
AST,12/7/2021,"Zimnyaya Doroga,Staraya Moskva",NovaBev Group PJSC,Kristall-Lefortovo OOO,N/A,Undisclosed, ,Pending
AST,12/7/2021,Tower assets/Pakistan,Potential Buyer,VEON Ltd,N/A,Cash, ,Withdrawn
AST,12/7/2021,Tower assets/Ukraine,Potential Buyer,VEON Ltd,N/A,Cash, ,Withdrawn
AST,11/16/2021,Cellular tower assets/Mobile TeleSystems PJSC,Unnamed Buyer,Mobile TeleSystems PJSC,N/A,Cash, ,Pending
AST,11/18/2021,Nornickels assets/Africa,Bcl Group Ltd,MMC Norilsk Nickel PJSC,N/A,Cash, ,Completed
AST,11/24/2021,Generating Assets/Enel SpA,Potential Buyer,Enel SpA,N/A,Cash, ,Withdrawn
AST,11/24/2021,Enel Russia generation assets,Unnamed Buyer,EL5-ENERO PJSC,N/A,Cash, ,Pending
AST,12/2/2020,Payakha field,Rosneft Oil Co PJSC,Independent Petroleum Co Holdings CY Ltd,N/A,Cash, ,Withdrawn
AST,12/31/2020,350 MW wind farms/Ulyanovsk & Rostov,"Fortum Oyj,Russian Direct Investment Fund Management Co (Fund: RDIF Mubadala Co-investment Fund)",,N/A,Cash, ,Completed
AST,3/2/2022,Eurasian business,Potential Buyer,Aggreko PLC,N/A,Cash, ,Withdrawn
AST,3/3/2022,Russian Operations/Intesa Sanpaolo SpA,Potential Buyer,Intesa Sanpaolo SpA,N/A,Cash, ,Withdrawn
AST,3/7/2022,Russian assets/Carmignac Gestion SA,Potential Buyer,Carmignac Gestion SA,N/A,Cash, ,Withdrawn
AST,3/22/2022,Russian Business/ MTI Wireless Edge Ltd,Private Investor,MTI Wireless Edge Ltd,N/A,Undisclosed, ,Completed
AST,3/30/2022,Russia Assets/Kinross Gold Corp,Fortiana Holdings Ltd,Kinross Gold Corp,N/A,Undisclosed, ,Withdrawn
AST,3/31/2022,Multifunctional logistics complex/Tver,Aquarius Group Co Ltd,RVM Capital CJSC AMC,N/A,Cash, ,Completed
AST,1/10/2022,Polymer Production/ Ust-Luga,Gazprom PJSC,,N/A,Cash, ,Withdrawn
AST,1/12/2022,Russian life insurance unit,SovCo Capital Partners BV,Talanx AG,N/A,Cash, ,Pending
AST,1/14/2022,Airportcity St petersburg,Warimpex Finanz- und Beteiligungs AG,,N/A,Cash, ,Completed
AST,1/18/2022,Capacity of 2 500 sows pig farm/Belgorod,Ros Agro PLC,,N/A,Cash, ,Completed
AST,1/28/2022,Mobile tower business/Mobile TeleSystems PJSC,Kismet Capital LLC,Mobile TeleSystems PJSC,N/A,Cash, ,Withdrawn
AST,10/7/2021,Textile activity/Blesk InCare,Elis SA,Blesk InCare,N/A,Cash, ,Completed
AST,10/18/2021,Production Business/Russia,KDV Group OOO,Unilever PLC,N/A,Cash, ,Completed
AST,10/22/2021,Assets/Rosneft Oil Co PJSC,Nezavisimaya Neftegazovaya Kompaniya AO,Rosneft Oil Co PJSC,N/A,Cash, ,Pending
AST,5/8/2022,petrol stations & lubrican plants/Russia,Potential Buyer,Shell PLC,N/A,Undisclosed, ,Withdrawn
AST,5/12/2022,Russia Assets/Fortum Oyj,Potential Buyer,Fortum Oyj,N/A,Cash, ,Withdrawn
AST,5/12/2022,Russian Assets/EPAM System Inc,Unnamed Buyer,EPAM Systems Inc,N/A,Cash, ,Pending
AST,5/16/2022,100 stores/Russia,FLO Magazacilik Ve Pazarlama AS,Authentic Brands Group Inc,N/A,Cash, ,Withdrawn
AST,5/16/2022,Russian assets of Renault,Russian Federation,Renault SA,N/A,Cash, ,Completed
AST,5/17/2022,"Home Credit & Finance Bank OOO,Banking Assets/Russia",Investor Group,PPF Group NV,N/A,Undisclosed, ,Completed
AST,5/19/2022,Sakhalin-I oil & gas project,Potential Buyer,Exxon Mobil Corp,N/A,Cash, ,Withdrawn
AST,5/23/2022,Russian Retail shops/ Levi Strauss,Potential Buyer,Levi Strauss & Co,N/A,Undisclosed, ,Withdrawn
AST,5/24/2022,Zurich Russia,Private Investor,Zurich Insurance Group AG,N/A,Undisclosed, ,Pending
AST,5/30/2022,Delfingen Russian Plant,Unnamed Buyer,DELFINGEN,N/A,Undisclosed, ,Completed
AST,6/2/2022,Russia assets/OC Oerlikon,Management Group,OC Oerlikon Corp AG,N/A,Undisclosed, ,Pending
AST,6/16/2022,PRISMA supermarkets & kitchen facility/St Petersburg,X5 Retail Group NV,SOK Retail Int Oy,N/A,Cash, ,Pending
AST,6/22/2022,Hotel business/St Petersburg,Private Investor,Suomen Osuuskauppojen Keskuskunta,N/A,Cash, ,Pending
AST,6/28/2022,Bussiness in Russia / Kone,S8 Capital AO,Kone Oyj,N/A,Cash, ,Completed
AST,6/28/2022,Russian operation,Management Group,Cie Generale des Etablissements Michelin SCA,N/A,Cash, ,Withdrawn
AST,6/28/2022,GTLK European Unit,Potential Buyer,Attestor Capital LLP,N/A,Undisclosed, ,Withdrawn
AST,2/21/2022,Portfolio of 2 anti-bacterial brands/Dr Reddy's Laboratories Ltd,Sistema PJSFC,Dr Reddy's Laboratories Ltd,N/A,Cash, ,Pending
AST,2/28/2022,Russian assets/Government Pension Fund Global,Potential Buyer,Government Pension Fund Global,N/A,Cash, ,Withdrawn
